state_code,date,commodity,total_allocated_qty
AS,2020-09-30,wheat,4179.0
AS,2020-10-31,rice,125140.56
AS,2020-10-31,wheat,4970.25
AS,2020-11-30,rice,124887.23
AS,2020-11-30,wheat,5402.02
AS,2020-12-31,rice,125270.36
AS,2020-12-31,wheat,5106.25
AS,2021-01-31,rice,117926.44
AS,2021-01-31,wheat,4858.35
AS,2021-02-28,rice,119549.17
AS,2021-02-28,wheat,5198.25
AS,2021-03-31,rice,125430.95
AS,2021-03-31,wheat,5478.35
AS,2021-04-30,rice,114837.12
AS,2021-04-30,wheat,5482.17
AS,2021-05-31,rice,122873.16
AS,2021-05-31,wheat,5338.95
AS,2021-06-30,rice,107765.68
AS,2021-06-30,wheat,4573.95
AS,2021-07-31,rice,115975.59
AS,2021-07-31,wheat,4882.25
AS,2021-08-31,rice,87089.92
AS,2021-08-31,wheat,3379.6
BR,2017-08-31,wheat,0.42
BR,2017-09-30,wheat,0.42
BR,2017-11-30,rice,422.43
BR,2017-11-30,wheat,281.62
BR,2017-12-31,rice,31309.67
BR,2017-12-31,wheat,20873.06
BR,2018-01-31,rice,233708.58000000002
BR,2018-01-31,wheat,155806.32
BR,2018-02-28,rice,255190.85
BR,2018-02-28,wheat,152169.55
BR,2018-03-31,rice,251443.43
BR,2018-03-31,wheat,169418.35
BR,2018-04-30,rice,274457.68
BR,2018-04-30,wheat,183677.92
BR,2018-05-31,rice,270807.37
BR,2018-05-31,wheat,180729.05000000002
BR,2018-06-30,rice,270615.65
BR,2018-06-30,wheat,180421.73
BR,2018-07-31,rice,269033.36
BR,2018-07-31,wheat,179357.08
BR,2018-08-31,rice,271255.48
BR,2018-08-31,wheat,181033.05
BR,2018-09-30,rice,272584.22
BR,2018-09-30,wheat,182020.93
BR,2018-10-31,rice,272821.3
BR,2018-10-31,wheat,181881.24
BR,2018-11-30,rice,269610.84
BR,2018-11-30,wheat,179864.7
BR,2018-12-31,rice,272767.18
BR,2018-12-31,wheat,181499.38
BR,2019-01-31,rice,273635.68
BR,2019-01-31,wheat,182370.98
BR,2019-02-28,rice,281001.39
BR,2019-02-28,wheat,187067.88
BR,2019-03-31,rice,275501.02
BR,2019-03-31,wheat,183670.02
BR,2019-04-30,rice,277384.64
BR,2019-04-30,wheat,184947.16
BR,2019-05-31,rice,288513.9
BR,2019-05-31,wheat,183307.88
BR,2019-06-30,rice,286494.95
BR,2019-06-30,wheat,190983.72
BR,2019-07-31,rice,285812.23
BR,2019-07-31,wheat,190587.76
BR,2019-08-31,rice,311993.78
BR,2019-08-31,wheat,207995.73
BR,2019-09-30,rice,299521.52
BR,2019-09-30,wheat,199682.37
BR,2019-10-31,rice,400164.25
BR,2019-10-31,wheat,266778.59
BR,2019-11-30,rice,499185.81
BR,2019-11-30,wheat,332804.55
BR,2019-12-31,rice,523622.33
BR,2019-12-31,wheat,348991.92
